gene,cancer_type,cell_line,chronos_score
HER3,Breast,Breast_10,-0.28
HER3,Ovarian,Ovarian_1,-0.274
HER3,Ovarian,Ovarian_2,-0.128
HER3,Ovarian,Ovarian_3,-0.282
HER3,Ovarian,Ovarian_4,-0.1
HER3,Ovarian,Ovarian_5,-0.05
HER3,Ovarian,Ovarian_6,-0.136
HER3,Ovarian,Ovarian_7,-0.214
HER3,Ovarian,Ovarian_8,-0.126
HER3,Ovarian,Ovarian_9,-0.217
HER3,Ovarian,Ovarian_10,-0.068
HER3,Pancreatic,Pancreatic_1,-0.37
HER3,Pancreatic,Pancreatic_2,-0.19
HER3,Pancreatic,Pancreatic_3,-0.389
HER3,Pancreatic,Pancreatic_4,-0.329
HER3,Pancreatic,Pancreatic_5,0.014
HER3,Pancreatic,Pancreatic_6,-0.043
HER3,Pancreatic,Pancreatic_7,-0.236
HER3,Pancreatic,Pancreatic_8,-0.33
HER3,Pancreatic,Pancreatic_9,-0.506
HER3,Pancreatic,Pancreatic_10,-0.215
