cancer_type,gene,tissue_group,sample_id,expression_tpm
NSCLC,HER3,Tumor,NSCLC_T11,22.867
NSCLC,HER3,Tumor,NSCLC_T12,16.119
NSCLC,HER3,Tumor,NSCLC_T13,12.328
NSCLC,HER3,Tumor,NSCLC_T14,9.243
NSCLC,HER3,Tumor,NSCLC_T15,15.723
NSCLC,HER3,Tumor,NSCLC_T16,12.805
NSCLC,HER3,Tumor,NSCLC_T17,13.879
NSCLC,HER3,Normal,NSCLC_N0,2.541
NSCLC,HER3,Normal,NSCLC_N1,2.894
NSCLC,HER3,Normal,NSCLC_N2,3.799
NSCLC,HER3,Normal,NSCLC_N3,3.118
NSCLC,HER3,Normal,NSCLC_N4,2.881
NSCLC,HER3,Normal,NSCLC_N5,2.223
NSCLC,HER3,Normal,NSCLC_N6,1.744
NSCLC,HER3,Normal,NSCLC_N7,2.635
NSCLC,HER3,Normal,NSCLC_N8,2.96
NSCLC,HER3,Normal,NSCLC_N9,4.326
NSCLC,HER3,Normal,NSCLC_N10,3.098
NSCLC,HER3,Normal,NSCLC_N11,3.737
NSCLC,HER3,Normal,NSCLC_N12,2.626
NSCLC,HER3,Normal,NSCLC_N13,2.111
CRC,CEACAM5,Tumor,CRC_T0,24.788
CRC,CEACAM5,Tumor,CRC_T1,26.084
CRC,CEACAM5,Tumor,CRC_T2,41.494
CRC,CEACAM5,Tumor,CRC_T3,25.565
CRC,CEACAM5,Tumor,CRC_T4,34.528
CRC,CEACAM5,Tumor,CRC_T5,25.124
CRC,CEACAM5,Tumor,CRC_T6,35.03
CRC,CEACAM5,Tumor,CRC_T7,32.079
CRC,CEACAM5,Tumor,CRC_T8,29.154
CRC,CEACAM5,Tumor,CRC_T9,29.78
CRC,CEACAM5,Tumor,CRC_T10,26.464
CRC,CEACAM5,Tumor,CRC_T11,32.409
CRC,CEACAM5,Tumor,CRC_T12,27.543
CRC,CEACAM5,Tumor,CRC_T13,23.382
CRC,CEACAM5,Tumor,CRC_T14,23.099
CRC,CEACAM5,Tumor,CRC_T15,30.932
CRC,CEACAM5,Tumor,CRC_T16,38.527
CRC,CEACAM5,Tumor,CRC_T17,30.864
CRC,CEACAM5,Normal,CRC_N0,0.464
CRC,CEACAM5,Normal,CRC_N1,0.586
CRC,CEACAM5,Normal,CRC_N2,0.892
CRC,CEACAM5,Normal,CRC_N3,0.566
CRC,CEACAM5,Normal,CRC_N4,0.377
CRC,CEACAM5,Normal,CRC_N5,0.832
CRC,CEACAM5,Normal,CRC_N6,0.629
CRC,CEACAM5,Normal,CRC_N7,0.961
CRC,CEACAM5,Normal,CRC_N8,0.555
CRC,CEACAM5,Normal,CRC_N9,0.133
CRC,CEACAM5,Normal,CRC_N10,0.09
CRC,CEACAM5,Normal,CRC_N11,0.995
CRC,CEACAM5,Normal,CRC_N12,1.017
CRC,CEACAM5,Normal,CRC_N13,0.446
CRC,TROP2,Tumor,CRC_T0,13.965
CRC,TROP2,Tumor,CRC_T1,18.946
CRC,TROP2,Tumor,CRC_T2,12.011
CRC,TROP2,Tumor,CRC_T3,12.584
CRC,TROP2,Tumor,CRC_T4,16.737
CRC,TROP2,Tumor,CRC_T5,13.935
CRC,TROP2,Tumor,CRC_T6,14.986
CRC,TROP2,Tumor,CRC_T7,14.559
CRC,TROP2,Tumor,CRC_T8,15.911
CRC,TROP2,Tumor,CRC_T9,18.8
CRC,TROP2,Tumor,CRC_T10,15.245
CRC,TROP2,Tumor,CRC_T11,16.739
CRC,TROP2,Tumor,CRC_T12,9.465
CRC,TROP2,Tumor,CRC_T13,14.868
CRC,TROP2,Tumor,CRC_T14,12.723
CRC,TROP2,Tumor,CRC_T15,11.709
CRC,TROP2,Tumor,CRC_T16,12.629
CRC,TROP2,Tumor,CRC_T17,14.098
CRC,TROP2,Normal,CRC_N0,3.072
CRC,TROP2,Normal,CRC_N1,1.671
CRC,TROP2,Normal,CRC_N2,2.519
CRC,TROP2,Normal,CRC_N3,2.197
CRC,TROP2,Normal,CRC_N4,2.295
CRC,TROP2,Normal,CRC_N5,3.127
CRC,TROP2,Normal,CRC_N6,2.836
CRC,TROP2,Normal,CRC_N7,3.336
CRC,TROP2,Normal,CRC_N8,2.403
CRC,TROP2,Normal,CRC_N9,2.065
CRC,TROP2,Normal,CRC_N10,2.36
CRC,TROP2,Normal,CRC_N11,2.652
CRC,TROP2,Normal,CRC_N12,2.61
CRC,TROP2,Normal,CRC_N13,1.822
CRC,EGFR,Tumor,CRC_T0,19.309
CRC,EGFR,Tumor,CRC_T1,19.781
CRC,EGFR,Tumor,CRC_T2,27.61
CRC,EGFR,Tumor,CRC_T3,25.419
CRC,EGFR,Tumor,CRC_T4,16.082
CRC,EGFR,Tumor,CRC_T5,18.017
CRC,EGFR,Tumor,CRC_T6,13.995
CRC,EGFR,Tumor,CRC_T7,16.98
CRC,EGFR,Tumor,CRC_T8,20.079
CRC,EGFR,Tumor,CRC_T9,23.124
CRC,EGFR,Tumor,CRC_T10,16.507
CRC,EGFR,Tumor,CRC_T11,16.763
CRC,EGFR,Tumor,CRC_T12,11.656
CRC,EGFR,Tumor,CRC_T13,18.444
CRC,EGFR,Tumor,CRC_T14,15.367
CRC,EGFR,Tumor,CRC_T15,17.189
CRC,EGFR,Tumor,CRC_T16,16.001
CRC,EGFR,Tumor,CRC_T17,18.678
CRC,EGFR,Normal,CRC_N0,2.803
CRC,EGFR,Normal,CRC_N1,3.166
CRC,EGFR,Normal,CRC_N2,7.662
CRC,EGFR,Normal,CRC_N3,3.391
CRC,EGFR,Normal,CRC_N4,3.629
CRC,EGFR,Normal,CRC_N5,7.296
CRC,EGFR,Normal,CRC_N6,8.631
CRC,EGFR,Normal,CRC_N7,3.536
CRC,EGFR,Normal,CRC_N8,4.54
CRC,EGFR,Normal,CRC_N9,5.427
CRC,EGFR,Normal,CRC_N10,7.161
CRC,EGFR,Normal,CRC_N11,3.766
CRC,EGFR,Normal,CRC_N12,4.693
CRC,EGFR,Normal,CRC_N13,5.972
